ProductID,Product Name,Product Description,Cost Price,Selling Price,Eat Out Price,Popup Notes,Tax Percentage,Eat Out Tax Percentage,Category Name,Brand Name,Unit Of Sale,Volume Of Sale,Barcode,Supplier,OrderCode,RRP,Product Type,Article Code,Tare Weight,Button Colour,Multiple Choice Note Name,Till Order,SKU,Sell On Till,Sell On Web
10594200,AIRPURE AUTO REFIL LAVENDER(,AIRPURE AUTO REFIL LAVENDER(R),0.63,1.19,1.19,,20,0,home,,,0,5.06019E+12,Rayburn,,0,Standard,,,,,,,y,n
10594201,AIRPURE AUTO REFIL LINEN(R),AIRPURE AUTO REFIL LINEN(R),0.63,1.19,1.19,,20,0,home,,,0,5.06019E+12,Rayburn,,0,Standard,,,,,,,y,n
10594202,AIRPURE CANDLE 3LAYER ASST(R,AIRPURE CANDLE 3LAYER ASST(R),0.6,1,1,,20,0,home,,,0,5.06019E+12,Rayburn,,0,Standard,,,,,,,y,n
10594203,AIRPURE CANDLE MILANO 3 FRAG,AIRPURE CANDLE MILANO 3 FRAGRANC,0.58,1,1,,20,0,home,,,0,5.06019E+12,Rayburn,,0,Standard,,,,,,,y,n
10594204,AIRWICK AIR FRESHENER FREESI,AIRWICK AIR FRESHENER FREESIA PM,0.63,1,1.09,,20,0,home,,,0,5.01142E+12,Rayburn,,0,Standard,,,,,,,y,n
10594205,AIRWICK AIR FRESHENER LAVEND,AIRWICK AIR FRESHENER LAVENDER P,0.63,1,1.09,,20,0,home,,,0,5.01142E+12,Rayburn,,0,Standard,,,,,,,y,n
10594206,AIRWICK AIR FRESHENER LINEN,AIRWICK AIR FRESHENER LINEN & LI,0.63,1,1.09,,20,0,home,,,0,5.01142E+12,Rayburn,,0,Standard,,,,,,,y,n
10594207,AIRWICK CANDLE VANILLA & ORC,AIRWICK CANDLE VANILLA & ORCHID,1.1,2,2,,20,0,home,,,0,5.70109E+12,Rayburn,,0,Standard,,,,,,,y,n
10594208,AIRWICK ESS OIL CAN LAV/CAM,AIRWICK ESS OIL CAN LAV/CAM,1.1,2,2,,20,0,home,,,0,5.70109E+12,Rayburn,,0,Standard,,,,,,,y,n
10594209,AIRWICK ESS OIL CAN VAN & BW,AIRWICK ESS OIL CAN VAN & BWN SU,1.1,2,2,,20,0,home,,,0,5.70109E+12,Rayburn,,0,Standard,,,,,,,y,n
10594210,AIRWICK STICK UP LAVENDER,AIRWICK STICK UP LAVENDER,0.7,1.29,1.29,,20,0,home,,,0,5.00015E+12,Rayburn,,0,Standard,,,,,,,y,n
10594211,ALBERTO COND GREEN APPLE(D),ALBERTO COND GREEN APPLE(D),0.55,1,1,,20,0,health&beauty,,,0,5.01225E+12,Rayburn,,0,Standard,,,,,,,y,n
10594212,ALBERTO STYLE GEL WET LOOK,ALBERTO STYLE GEL WET LOOK,0.67,1.19,1.19,,20,0,health&beauty,,,0,5.01225E+12,Rayburn,,0,Standard,,,,,,,y,n
10594213,ALL PURPOSE DESCALER TABLETS,ALL PURPOSE DESCALER TABLETS 4PK,0.48,1,1,,20,0,home,,,0,5.05058E+12,discount wholesale,,0,Standard,,,,,,,y,n
10594214,Alpen Chocolate & Caramel Ce,Alpen Chocolate & Caramel Cereal,0.67,1.29,1.29,,20,0,food,,,0,5.01003E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10594215,Alpen Fruit & Nut#Milk Choco,Alpen Fruit & Nut#Milk Chocolate,0.67,1.29,1.29,,20,0,food,,,0,5.01003E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10594216,Alpen Light Summerfruits Cer,Alpen Light Summerfruits Cereal,0.67,1.29,1.09,,20,0,food,,,0,5.01003E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10594217,Alpen Milk & Dark Choc Cerea,Alpen Milk & Dark Choc Cereal Ba,0.67,1.29,1.29,,20,0,food,,,0,5.01003E+11,SOS Wholesale,,0,Standard,,,,,,,y,n
10594185,151 Bubble Envelopes 6pk 170,151 Bubble Envelopes 6pk 170mm x,0.63,1,1,,20,0,stationery,,,0,5.05038E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10594186,151 Bubble Envelopes 8pk 140,151 Bubble Envelopes 8pk 140mm x,0.63,1,1,,20,0,stationery,,,0,5.05038E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10594187,151 C4 Self Seal White Envel,151 C4 Self Seal White Envelopes,0.57,1,1,,20,0,stationery,,,0,5.05038E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10594188,7UP BOTTLE 2/17,7UP BOTTLE 2/17,0.33,0.69,0.59,,20,0,drinks,,,0,4.0608E+12,Rayburn,,0,Standard,,,,,,,y,n
10594189,7UP CANS 07/17,7UP CANS 07/17,0.19,0.39,0.39,,20,0,drinks,,,0,87177756,Rayburn,,0,Standard,,,,,,,y,n
10594190,A4 NEON RINGBINDER 4 ASSTD,A4 NEON RINGBINDER 4 ASSTD,0.62,1,1,,20,0,stationery,,,0,5.05058E+12,discount wholesale,,0,Standard,,,,,,,y,n
10594191,A4 PLASTIC WALLETS 4PK(R),A4 PLASTIC WALLETS 4PK(R),0.54,1,1,,20,0,stationery,,,0,5.01392E+12,Rayburn,,0,Standard,,,,,,,y,n
10594192,ADVENTURE TIME SURPRISE EGG,ADVENTURE TIME SURPRISE EGG 31/1,0.45,1,1,,20,0,confectionery,,,0,96074541,Rayburn,,0,Standard,,,,,,,y,n
10594193,AIL Extra Strong Ziploc Food,AIL Extra Strong Ziploc Food Bag,0.49,1,1,,20,0,home,,,0,5.02536E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10594194,AIL Microfibre Cloths 3 Pack,AIL Microfibre Cloths 3 Pack (B0,0.45,1,1,,20,0,home,,,0,,SOS Wholesale,,0,Standard,,,,,,,y,n
10594219,ALPHABET ANIMAL ERASERS 8PK,ALPHABET ANIMAL ERASERS 8PK PDQ,0.48,1,1,,20,0,stationery,,,0,5.05058E+12,discount wholesale,,0,Standard,,,,,,,y,n
10594225,Aqua Fruta 4pk Lemon & Lime,Aqua Fruta 4pk Lemon & Lime (4x5,0.69,1.39,1,,20,0,drinks,,,0,5.00023E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10594226,Aqua Fruta 4pk Strawberry &,Aqua Fruta 4pk Strawberry & Rasp,0.69,1.39,1,,20,0,drinks,,,0,5.00023E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10594227,Aquafresh 100ml Fresh & Mint,Aquafresh 100ml Fresh & Minty To,0.4,0.99,0.99,,20,0,health&beauty,,,0,6.00108E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10594228,Aquafresh 125ml All In One P,Aquafresh 125ml All In One Prote,0.42,0.99,0.99,,20,0,health&beauty,,,0,,SOS Wholesale,,0,Standard,,,,,,,y,n
10594229,Aquafresh Mouthwash Freshmin,Aquafresh Mouthwash Freshmint 50,0.65,1.19,1.99,,20,0,health&beauty,,,0,,SOS Wholesale,,0,Standard,,,,,,,y,n
10594230,AQUAFRESH MOUTHWASH FRSH MIN,AQUAFRESH MOUTHWASH FRSH MINT(sp,0.61,1.19,1.19,,20,0,health&beauty,,,0,5.00035E+12,Rayburn,,0,Standard,,,,,,,y,n
10594232,ASHLEYS SEASHELLS 31/08/18,ASHLEYS SEASHELLS 31/08/18,0.62,1.19,1.19,,20,0,confectionery,,,0,5.01156E+12,Rayburn,,0,Standard,,,,,,,y,n
10594233,ASHLEYS TURKISH DELIGHT 9/17,ASHLEYS TURKISH DELIGHT 9/17,0.67,1.29,1.29,,20,0,confectionery,,,0,5.01156E+12,Rayburn,,0,Standard,,,,,,,y,n
10594234,ASPAR ASPIRIN 16S 3/1/21,ASPAR ASPIRIN 16S 3/1/21,0.14,0.49,0.49,,20,0,health&beauty,,,0,5.02407E+12,Rayburn,,0,Standard,,,,,,,y,n
10594235,Astonish 500ml #1 Anti-Bacte,Astonish 500ml #1 Anti-Bacterial,0.58,0.99,0.99,,20,0,home,,,0,48256245509,SOS Wholesale,,0,Standard,,,,,,,y,n
10594236,Astonish 500ml #2 Anti-Bacte,Astonish 500ml #2 Anti-Bacterial,0.58,0.99,0.99,,20,0,home,,,0,5.06006E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10594237,Astonish 500ml #5 Anti-Bacte,Astonish 500ml #5 Anti-Bacterial,0.58,0.99,0.99,,20,0,home,,,0,5.06006E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
